 kappa_c       h  omega_cdm  omega_b     n_s        A_s   chi2/dof     H0      r_s
--------------------------------------------------------------------------------
   1.000  0.6736    0.12000  0.02200  0.9700   2.10e-09     1.1658   67.4   144.84
   0.995  0.6786    0.12000  0.02200  0.9700   2.10e-09     1.1719   67.9   144.48
   0.990  0.6786    0.12250  0.02150  0.9800   2.10e-09     1.1829   67.9   143.93
   0.985  0.6836    0.12250  0.02100  0.9850   2.10e-09     1.1991   68.4   144.01
   0.980  0.6786    0.12500  0.02050  0.9900   2.10e-09     1.2208   67.9   143.47
   0.975  0.6836    0.12500  0.02000  0.9950   2.10e-09     1.2528   68.4   143.54
   0.970  0.6936    0.12500  0.02000  0.9950   2.10e-09     1.3067   69.4   143.18
   0.965  0.6936    0.12750  0.02000  1.0000   2.10e-09     1.3724   69.4   142.20
   0.960  0.7036    0.12750  0.02000  1.0000   2.10e-09     1.4570   70.4   141.84
   0.955  0.7136    0.12750  0.02000  1.0000   2.10e-09     1.5634   71.4   141.47
   0.950  0.7036    0.13250  0.02000  1.0000   2.10e-09     1.6913   70.4   139.92
   0.945  0.7136    0.13250  0.02000  1.0000   2.10e-09     1.8379   71.4   139.56
   0.940  0.7436    0.12500  0.02000  1.0000   2.05e-09     1.9234   74.4   140.97
   0.935  0.7536    0.12500  0.02000  1.0000   2.05e-09     2.1073   75.4   140.60
   0.930  0.7636    0.12500  0.02000  1.0000   2.05e-09     2.3197   76.4   140.22
